,firmgrowthregpred1620
559,0.12846132085245549
560,0.2580882290796276
561,0.09529451009523057
562,0.10092849764062375
563,0.14591531095419796
564,0.09773722033358061
565,0.21626140682362002
566,0.14796977192411154
567,0.1580040170795618
568,0.09626355215943844
569,0.7121783817937435
570,0.10566654078123434
571,0.10368756616531365
572,0.12581684694798842
573,0.1271953631614738
574,0.19834438302086166
575,0.14891495622975204
576,0.20733404239426287
577,0.1079549475776296
578,0.1515412698530694
579,0.1035130824485875
580,0.19117092344950884
581,0.12756331291231754
582,0.10264528115970431
583,0.4458625865887082
584,0.10142023833011014
585,0.1585831198050495
586,0.09534321059885897
587,0.09936735422742637
588,0.14266069577283455
589,0.14933018643859267
590,0.09668896475523457
591,0.10617260362876331
592,0.09805827600607592
593,0.36396594974785945
594,0.1751347504769282
595,0.12613966894092513
596,0.1564115136269635
597,0.4907279249556037
598,0.11833849863413279
599,0.09718972564890928
600,0.6791166271214671
601,0.09704017776168775
602,0.11329733597553167
603,0.3600456623798831
604,0.1545547853181751
605,0.09862407640023674
606,0.09406376894058618
607,0.16730332884655258
608,0.20115432381656856
609,0.15456644902950054
610,0.09473655707401762
611,0.09227696165948414
612,0.18344949735607816
613,0.24209739204532504
614,0.1527007142583018
615,0.19518760883780603
616,0.1485850641803773
617,0.15281889953029285
618,0.14509902307272143
619,0.09285138632515474
620,0.10340929514565016
621,0.18402053296661475
622,0.11521419584493617
623,0.5465513053852169
624,0.2757896057590008
625,0.10305038934114943
626,0.15366935157252296
627,0.4677161921415375
628,0.48366780214011096
629,0.10651927533682808
630,0.1754358487295599
631,0.4761186723965447
632,0.11304171644108114
633,0.11496727925658179
634,0.09686601411858858
635,0.15724580639898572
636,0.09521981230175998
637,0.09799981787641622
638,0.2410944632656236
639,0.13239579945812277
640,0.13174034698428072
641,0.12331683704833331
642,0.11087927430875277
643,0.12197040121906531
644,0.1490741023255368
645,0.09843150166598584
646,0.14534171470929386
647,0.10093980017590397
648,0.16211844652505886
649,0.1499763942639254
650,0.6805589407170964
651,0.1865054759439616
652,0.09834477294425763
653,0.1191808934528775
654,0.24084751117775516
655,0.1510294065682927
656,0.18136856057748432
657,0.28592364691272537
658,0.1795869568778861
659,0.12601813906012216
660,0.2903450980291917
661,0.13257457637498574
662,0.09026198625560958
663,0.16361056637680624
664,0.28145673645136243
665,0.182244325029347
666,0.19707198869531697
667,0.13077955913270123
668,0.4650582823235906
669,0.49999393931394526
670,0.17416647602187668
671,0.17222743325838286
672,0.10061476100130391
673,0.20669273080896422
674,0.20821040040682204
675,0.481856518144995
676,0.17874088146345365
677,0.13756524814905455
678,0.18757128750321977
679,0.4390506206778679
680,0.49606278642984636
681,0.1584498533251097
682,0.11494135931068478
683,0.17728259106942673
684,0.4364211815601999
685,0.17319672116789775
686,0.42231136006128817
687,0.14181498109723353
688,0.765847034024181
689,0.10181780019238618
690,0.47054104599721386
691,0.191752438832578
692,0.4094978889321472
693,0.10347669987611678
694,0.44922376658025537
695,0.19491054155114998
696,0.09879827246416999
697,0.37015430589567877
698,0.1773663476258448
699,0.16648210159780127
700,0.33891751714465396
701,0.10448530924989057
702,0.183890645807574
703,0.2605980599668994
704,0.1479115803107809
705,0.15897071353855033
706,0.47561312177618587
707,0.16174033433409107
