,entmun,firmgrowthclasspred,popgrowthclasspred,firmgrowthclasspred1620,popgrowthclasspred1620,y1,y2,resfirms,respop
2078,29060,0,1,0,1,1,1,-1,0
2079,30001,0,1,0,1,1,1,-1,0
2080,30002,0,0,0,1,0,0,0,0
2081,30003,1,1,1,1,1,0,0,1
2082,30004,1,1,1,0,0,1,1,0
2083,30005,0,0,0,0,0,0,0,0
2084,30006,0,1,1,1,0,1,0,0
2085,30007,0,0,0,0,0,0,0,0
2086,30008,0,1,0,0,0,1,0,0
2087,30009,1,0,1,0,1,0,0,0
2088,30010,1,1,1,1,1,1,0,0
2089,30011,1,0,1,0,1,0,0,0
2090,30012,0,1,0,0,0,1,0,0
2091,30013,1,1,1,1,0,0,1,1
2092,30014,1,1,1,1,0,1,1,0
2093,30015,1,1,1,1,1,0,0,1
2094,30016,1,1,1,1,0,1,1,0
2095,30017,0,0,0,0,0,0,0,0
2096,30018,0,0,0,0,0,1,0,-1
2097,30019,0,0,0,0,0,1,0,-1
2098,30020,0,1,0,1,0,1,0,0
2099,30021,1,1,1,1,1,0,0,1
2100,30022,1,1,1,1,1,1,0,0
2101,30023,1,1,1,1,1,1,0,0
2102,30024,0,1,1,1,1,1,-1,0
2103,30025,1,1,1,1,0,0,1,1
2104,30026,1,1,1,1,1,1,0,0
2105,30027,0,1,0,1,0,1,0,0
2106,30028,1,1,1,1,1,0,0,1
2107,30029,0,0,0,0,0,0,0,0
2108,30030,1,1,1,1,0,0,1,1
2109,30031,0,0,0,0,1,0,-1,0
2110,30032,1,0,1,0,0,0,1,0
2111,30033,0,1,1,1,1,0,-1,1
2112,30034,1,1,1,1,1,0,0,1
2113,30035,0,1,1,1,1,1,-1,0
2114,30036,0,1,1,1,0,1,0,0
2115,30037,0,1,0,1,1,1,-1,0
2116,30038,1,1,1,1,1,1,0,0
2117,30039,1,1,1,1,1,0,0,1
2118,30040,1,1,1,1,0,1,1,0
2119,30041,0,0,0,0,0,0,0,0
2120,30042,0,0,0,0,0,0,0,0
2121,30043,1,1,1,1,1,1,0,0
2122,30044,1,1,1,1,1,1,0,0
2123,30045,1,1,1,1,1,0,0,1
2124,30046,0,1,1,1,0,0,0,1
2125,30047,1,1,1,1,1,1,0,0
2126,30048,1,1,1,1,1,1,0,0
2127,30049,0,1,1,0,1,1,-1,0
2128,30050,0,1,1,1,1,1,-1,0
2129,30051,1,1,1,1,0,0,1,1
2130,30052,0,1,1,1,1,1,-1,0
2131,30053,1,0,1,0,1,1,0,-1
2132,30054,0,1,0,1,0,1,0,0
2133,30055,0,1,0,1,1,1,-1,0
2134,30056,0,0,0,0,0,0,0,0
2135,30057,0,1,1,1,1,1,-1,0
2136,30058,1,1,1,1,1,0,0,1
2137,30059,1,1,1,1,0,1,1,0
2138,30060,0,1,1,1,1,1,-1,0
2139,30061,1,1,1,1,0,1,1,0
2140,30062,1,1,1,1,1,1,0,0
2141,30063,0,1,0,1,0,0,0,1
2142,30064,0,0,0,0,0,0,0,0
2143,30065,1,1,1,1,1,1,0,0
2144,30066,1,1,1,1,1,1,0,0
2145,30067,0,1,1,1,0,1,0,0
2146,30068,1,1,1,1,1,1,0,0
2147,30069,1,0,1,1,0,0,1,0
2148,30070,0,1,0,0,0,1,0,0
2149,30071,1,1,1,1,1,1,0,0
2150,30072,1,1,1,1,0,0,1,1
2151,30073,1,1,1,1,0,0,1,1
