,firmgrowthregpred
298,0.06660330557456921
299,0.017590594042943532
300,0.06277911220566582
301,0.06373944642960289
302,0.11133067593869711
303,0.19558848739964188
304,0.06578635099130144
305,0.013497850172119135
306,0.05653565867552566
307,0.020583375702862047
308,0.06289568281856106
309,0.013865795113245451
310,0.012394458617075286
311,0.03408317093064842
312,0.1987973702246406
313,0.03312270152579558
314,0.08590055109588643
315,0.06428423572370515
316,0.07903442889004726
317,0.04065139530393096
318,0.0927468431486881
319,0.12107832361340963
320,0.20331346688825608
321,0.22022057040327803
322,0.2281204208604852
323,0.16807468827518104
324,0.29688531053175216
325,0.017064287586623282
326,0.42869780219986814
327,0.15497544297176166
328,0.2272933143193551
329,0.06667749082678806
330,0.3290936978975733
331,0.12719757426467015
332,0.08330332641593305
333,0.28547169483488255
334,0.3526400873827343
335,0.0703826033187245
336,0.5311817332312487
337,0.15910875398342644
338,0.1325726501431802
339,0.7914829747037354
340,0.20812024451780795
341,0.07725284168213184
342,0.2590573898590289
343,0.06663079661857998
344,0.3141652397559445
345,0.16188897553348425
346,0.38617180455207883
347,0.2904222002687478
348,0.1460224142472201
349,0.20321215770871048
350,0.47075781538412637
351,0.3251845918109918
352,0.28120502863086067
353,0.022612989063343077
354,0.22529201236753188
355,0.03448305883724292
356,0.4506292894664842
357,0.06575754699205291
358,0.16104305556891332
359,0.06355269117134657
360,0.2312862211880658
361,0.24355701251521325
362,0.06451192753971376
363,0.25762777921875163
364,0.05992219799703698
365,0.1449657918620641
366,0.6851544518113883
367,0.07467294324469337
368,0.14756067949570809
369,0.06454724475308646
370,0.037316085528039375
371,0.0541895107140758
372,0.14610398211805417
373,0.0442696452603659
374,0.017802708704363575
375,0.0819649666813946
376,0.19259186306333448
377,0.15051756611709172
378,0.06360665921046064
379,-0.10383409811681693
380,0.07060570440983273
381,0.039672747885177655
382,-0.006754612318284441
383,0.06641913485366797
384,0.06929941938095618
385,0.05896551839711735
386,0.1436714256342449
387,0.1556642591765478
388,0.047000077870140676
389,0.033657826347638385
390,0.0595859860448746
391,0.04902813104601938
392,0.05074771111839401
393,0.2943265759617814
394,0.44361423851360804
395,0.04476658139611453
396,0.027234952836745926
397,0.11439794913245513
398,0.0634327312135833
399,0.17022736632430138
400,0.47680890629697487
401,0.06321839815378341
402,0.03272015630044651
403,0.46748000685532015
404,0.1113982548863938
405,0.12612970329953285
406,0.07958439539346984
407,0.07062437987468144
408,0.06493572475652683
409,0.08009877454056039
410,0.11270557649679247
411,0.2961735630097642
412,0.03086608128781636
413,0.14431072239299955
414,0.06313529612049139
415,0.22048072917313496
416,0.17454213913838107
417,0.16801262724129026
418,0.11944411867589953
419,0.11217981082431601
420,0.3398860365803005
421,0.13862129852642652
422,0.1776276705048462
423,0.18009528259278307
424,0.0752057465025451
425,0.06139027887711029
426,0.1696076463862509
427,0.06884985764783128
428,0.053775153045280355
429,0.061004992301946885
430,0.03510951971021059
431,0.2808887470491297
432,0.10164583348623821
433,-0.10752380647227006
434,0.05669479202217891
435,0.03747836295132343
436,0.11713227114099496
437,0.055130811532669105
438,0.04707484639359618
439,0.0896903928712728
440,0.17817491149200745
441,0.10322761204103947
442,0.003381720469437928
443,0.05957090836525672
444,0.058806771362510064
445,0.0381307824785222
446,0.05525838625956309
447,0.05703503332383692
448,0.12391433918422456
449,0.2727175464125024
450,0.031858689586918204
451,0.0893852254143747
452,0.05659992533649319
453,0.06345707962253387
454,0.1648906266600892
455,0.05642076002977081
456,0.15549883281192958
457,0.062780977647497
458,0.12527931855088245
459,0.16176593382304802
460,0.05544060603197084
461,0.04877022710569784
462,0.16502340270212001
463,0.06212913174805687
464,0.07340827098395221
465,0.05423456952113714
466,0.012375951383933718
467,0.0854419086801139
468,0.060574183113958194
469,0.1756283035108146
470,0.05346055051432929
471,0.07828351993483006
472,0.05480735480561037
473,0.07522057439765857
474,0.27075948722819515
475,0.1617398837140216
476,0.31860924692294923
477,0.06455468727639418
478,0.06403674822849362
479,0.014096016530359428
480,0.053306058134154254
481,0.055553103095702674
482,0.04814404950041672
483,0.06020494900115331
484,0.025537344275146298
485,0.1015415843306323
486,0.05352186945589806
487,0.21930326715807025
488,0.06429635060859398
489,0.027882743398372604
490,0.055898357057906065
491,0.045223352910508594
492,0.14368515596043616
493,0.018183086585129828
494,0.6229337819208008
495,0.06250310124494911
496,0.10310835833710985
497,0.5784878779003926
498,0.15424914930409103
499,0.05553552723968006
500,0.11415758538974842
501,0.06115738137372969
502,0.1613146034552652
503,0.062256766165031834
504,0.05580853936664429
505,0.12775943725584013
506,0.0563673952630373
507,0.32218457618566415
508,0.0844854167671308
509,0.32518384353032875
510,0.05552662995069478
511,0.06775793914979154
512,0.07082352878990293
513,0.14192381274633384
514,0.05657103657371922
515,0.4562119515955154
516,0.09523449168101651
517,0.054059122909699414
518,0.0719229994270999
519,0.10946216110490657
520,0.1182376786444102
521,0.0917574524157536
522,0.365944234934991
523,0.46529234638038797
524,0.0584942648661934
525,0.03156657795841902
526,0.07173413314009681
527,0.16169599730732936
528,0.09730972576390574
529,0.1606146399611454
530,0.1292397760717683
531,0.0923704066519647
532,0.1189243801762637
533,0.10127690751924594
534,0.02160809277047966
535,0.060572624115017785
536,0.285201020367535
537,0.049519167068272
538,0.24273591303248424
539,0.07196077558255373
540,0.03605014072813185
541,0.01705940316502475
542,0.0205755084792497
543,0.21106817234712114
544,0.0411430921269989
545,0.22960523327660398
546,0.15016448858984505
547,0.07267985451380882
548,0.22574403182545733
549,0.029440068921110566
550,0.05199772893108294
551,0.07077432604536055
552,0.16559431344627587
553,0.4566010880589602
554,0.11227808180287475
555,0.08943972401724816
556,-0.00450650478292462
557,0.054713844943123834
558,0.01386580095899801
559,0.059299724254662754
560,0.1887539031927372
561,0.016066086676956318
562,0.018228436273291043
563,0.09098933117381357
564,0.012730618638672907
565,0.15624152726182255
566,0.1024230437960998
567,0.09810280644192342
568,0.01718808801467446
569,0.6569542223021854
570,0.05449849780735834
571,0.008385080440933087
572,0.05137322633814037
573,0.15885801106568678
574,0.1623514243429667
575,0.08287783673511855
576,0.15495365309000858
577,0.08656686634796833
